Key,AtlasText_english.json,AtlasText_polish.json
motor_cortex_body,"This area is responsible for movement. Commands that originate in the Primary Motor Cortex are sent to the Spinal Cord that transmits them to the muscles, which contract and relax accordingly. Different areas in the Primary Motor Cortex are responsible for different organs, from the feet to the face. The forefront of this area is responsible for complex tasks such as planning movement and movement sequences.","Ośrodek ten odpowiada za ruch. Polecenia powstające w pierwotnej korze ruchowej wysyłane są do rdzenia kręgowego, który przekazuje je dalej do mięśni, powodując ich napinanie się i rozluźnianie."
broca_area_title,Broca's Area,Ośrodek Broki
broca_area_body,"This is one of the two areas in the brain responsible for language. It is located usually on the left side of the brain and is important for syntax and speech production (patients with damage in this area will have difficulty talking, although they will understand what is said to them). Research also attributes non-language functions to this area, such as music and working memory.","To jeden z dwóch ośrodków w mózgu odpowiedzialnych za mowę. Zwykle znajduje się po lewej stronie mózgu i wpływa na składnię i artykulację (uszkodzenie tego ośrodka powoduje problemy z mówieniem, nie wpływając jednak na rozumienie innych). Badania przypisują również temu ośrodkowi funkcje inne niż językowe, takie jak przetwarzanie muzyki czy pamięć robocza."
prefrontal_cortex_title,Prefrontal Cortex,Kora przedczołowa
prefrontal_cortex_body,"One of the most important areas in the brain. It is mainly responsible for high functions such as decision making; planning and management; social behavior; and rational thinking. It is also involved in learning processes, memory, and attention. Researchers attribute intelligence, and our characteristics and personality to this area. Different diseases, such as schizophrenia and autism, are characterized with changes in this area.","Jeden z najważniejszych ośrodków w mózgu. Odpowiada głównie za wyższe funkcje, takie jak podejmowanie decyzji, planowanie i zarządzanie, zachowania społeczne i racjonalne myślenie. Uczestniczy również w procesach uczenia się, zapamiętywania i skupiania uwagi. Badacze uważają, że odpowiada on za naszą inteligencję, charakter i osobowość. Różne choroby, w tym schizofrenię i autyzm, cechują zmiany w tym właśnie ośrodku."
parietal_lobe_title,Parietal Lobe,Płat ciemieniowy
parietal_lobe_body,"This is a significant lobe in the cortex. It has a wide range of functions, from processing sensory information from the body in the Somatosensory Cortex to higher functions that take place in the Posterior Parietal Cortex.","Ważny płat kory mózgowej. Pełni szereg funkcji, od przetwarzania danych zmysłowych przesyłanych do kory somatosensorycznej po wyższe funkcje zachodzące w tylnej korze ciemieniowej."
somatosensory_cortex_title,Somatosensory Cortex,Kora somatosensoryczna
somatosensory_cortex_body,"This is responsible for processing touch as well as processing pain, vibrations, and temperature. This area receives information from receptors spread throughout the body and transmits information through the Spinal Cord and the Brain Stem.","Odpowiada za przetwarzanie sygnałów dotykowych, a także bólu, wibracji i temperatury. Ośrodek ten odbiera informacje z receptorów rozsianych po całym ciele i przesyła je za pośrednictwem rdzenia kręgowego i pnia mózgu."
posterior_parietal_lobe_title,Posterior Parietal Cortex,Kora ciemieniowa tylna
posterior_parietal_lobe_body,"This contains areas responsible for higher functions of the brain, such as coordinating between the sense of sight and the sense of touch, and synchronizing these senses with motor functions. It is involved in actions related to math and logic, and also in high level functions such as attention, working memory, notion of ‘self’ and of space.","Zawiera ośrodki odpowiedzialne za wyższe funkcje mózgu, takie jak koordynacja wzroku i dotyku oraz synchronizacja tych zmysłów z funkcjami motorycznymi. Uczestniczy w czynnościach związanych z matematyką i logiką, a także wyższych funkcjach, takich jak uwaga, pamięć robocza, pojęcia „jaźni” i przestrzeni."
occipital_lobe_title,Occipital Lobe,Płat potyliczny
occipital_lobe_body,"Responsible for processing visual information. The primary area in which the information is first received, carry out basic characteristic processing such as location of the object we see and its orientation. The more advanced areas process aspects such as movement and color. The information is then transmitted to other lobes for further processing.","Odpowiada za przetwarzanie informacji wzrokowych. Pierwotny ośrodek, do którego informacje trafiają w pierwszej kolejności i który dokonuje wstępnego przetwarzania właściwości widzianego obiektu, takich jak lokalizacja i orientacja. Bardziej zaawansowane ośrodki przetwarzają cechy takie jak ruch czy kolor. Informacje te przekazywane są następnie do dalszego przetwarzania w innych płatach."
temporal_lobe_title,Temporal Lobe,Płat skroniowy
temporal_lobe_body,"The Temporal Lobe is located at the sides of the brain, behind the temples. It plays a significant role in processing sensory information. Different areas within this lobe are responsible for processing information from the senses of sight, sound, and smell.","Płat skroniowy znajduje się w bocznej części mózgu, za skrońmi. Odgrywa znaczącą rolę w przetwarzaniu informacji zmysłowych. Różne ośrodki w obrębie tego płatu odpowiadają za przetwarzanie informacji ze zmysłów wzroku, słuchu i węchu."
auditory_cortex_title,Auditory Cortex,Kora słuchowa
auditory_cortex_body,This is responsible for processing information of sound. It is divided into sub-sections: the primary area is the first in the cortex to receive the auditory information; It then transmits it to the secondary areas that are responsible for more complex hearing functions such as processing music.,"Odpowiedzialna jest za przetwarzanie danych słuchowych. Dzieli się na dwie części: ośrodek pierwotny jest obszarem, do którego najpierw trafiają informacje słuchowe i który przesyła je dalej do wtórnych ośrodków, odpowiadających za bardziej złożone funkcje słuchu, takie jak przetwarzanie muzyki."
wernicke_area_title,Wernicke’s Area,Ośrodek Wernickego
wernicke_area_body,"One of the two language areas in the brain. It is responsible for language comprehension, but not language production. Patients with damage in this area have a normal speech flow but cannot understand what they are saying. This area only exists on one side of the brain (usually on the left).","Jeden z dwóch ośrodków mowy w mózgu. Odpowiada za rozumienie mowy, lecz nie za jej artykulację. Pacjenci z uszkodzonym ośrodkiem Wernickego mogą normalnie mówić, lecz nie rozumieją, co mówią. Ośrodek ten występuje tylko po jednej stronie mózgu (zwykle po lewej)."
median_and_inferior_temporal_lobe_title,Medial and Inferior Temporal Lobe,Płat skroniowy przyśrodkowy i dolny
median_and_inferior_temporal_lobe_body,"This part contains the areas responsible for more complex processing of the visual information, such as face recognition, object recognition, and background recognition.","Ta część mózgu zawiera ośrodki odpowiedzialne za bardziej złożone przetwarzanie informacji wzrokowych, np. rozpoznawanie twarzy, przedmiotów i teł."
piriform_cortex_title,Piriform Cortex,Kora gruszkowata
piriform_cortex_body,"This is the area of the cortex responsible for processing information from the sense of smell. It receives information from the smell organs. In humans this area is very small relative to other parts of the brain, which may indicate that the sense of smell has a less important role in our lives compared to other species.","Ta część kory mózgowej odpowiada za przetwarzanie informacji pochodzących ze zmysłu powonienia. Odbiera dane z organów węchowych. U ludzi ośrodek ten jest bardzo mały w porównaniu z innymi częściami mózgu, co może sugerować, że węch jest dla nas mniej ważny niż dla innych gatunków."
limbic_cortex_title,Limbic Cortex,Kora limbiczna
limbic_cortex_body,"This relates to a wealth of processes related to behavior. It is important for social behavior; processing emotions; motivation; learning; and memory. The Limbic system has additional components that are not in the cortex, such as the Amygdala and the Hippocampus.","Steruje licznymi procesami behawioralnymi, między innymi zachowaniami społecznymi, przetwarzaniem emocji, motywacją, uczeniem się i zapamiętywaniem. Układ limbiczny składa się z jeszcze innych elementów, znajdujących się poza korą mózgową, takich jak ciało migdałowate i hipokamp."
insula_title,Insula,Wyspa
insula_body,"This part of the cortex is folded deep within the brain and cannot be seen from outside. The insula is related to various emotions such as disgust, and emotional reactions to external stimuli. It is involved in tasks such as monitoring bodily activities but also higher brain processes.","Ta część kory zaszyta jest głęboko w mózgu i nie widać jej z zewnątrz. Wyspa odpowiada za rozmaite uczucia, np. wstręt, oraz reakcje emocjonalne na bodźce zewnętrzne. Uczestniczy między innymi w monitorowaniu czynności organizmu, a także w wyższych procesach mózgowych."
gustatory_cortex_title,Gustatory Cortex,Kora smakowa
gustatory_cortex_body,"This area is responsible for processing information from the sense of taste. The information arrives from taste receptors placed in the mouth (mainly on the tongue), flows through the Brain Stem and the Thalamus, reaching the Gustatory Cortex. The Gustatory Cortex is composed of two parts, one in the insula, and the second at the bottom of the Frontal Lobe.","Ośrodek ten odpowiada za przetwarzanie informacji pochodzących ze zmysłu smaku. Informacje te napływają z receptorów smakowych znajdujących się w jamie ustnej (głównie na języku), przechodzą przez pień mózgu i wzgórze, na koniec trafiając do kory smakowej. Kora smakowa składa się z dwóch części: jedna jest zlokalizowana w wyspie, druga zaś u dołu płatu czołowego."
deep_nuclei_in_the_forebrain_title,Deep Cerebellar Nuclei,Jądra głębokie móżdżku
hippocampus_title,Hippocampus,Hipokamp
hippocampus_body,"Hippocampus means ‘sea horse’ in Latin, and some say that the shape of the Hippocampus resembles a sea horse. The Hippocampus plays an important role in generating, coding, and storing new memories, especially conscious memories of events and facts. The Hippocampus also plays a role in spatial memory and orientation.","Łacińskie słowo „hippocampus” oznacza konika morskiego, którego ta część mózgu przypomina kształtem. Hipokamp odgrywa ważną rolę w generowaniu, kodowaniu i przechowywaniu nowych wspomnień, w szczególności świadomych wspomnień wydarzeń i faktów. Hipokamp odgrywa również rolę w pamięci przestrzennej i orientacji."
amygdala_title,Amygdala,Ciało migdałowate
amygdala_body,"A small area in the depth of the brain that plays an important role in processing different aspects of emotion (most notably, fear). The Amygdala’s importance is twofold: it influences high psychological behaviors that stem from emotion; and it regulates basic bodily functions resulting from emotions (for instance, by raising blood pressure and heart rate).","Niewielki ośrodek w głębi mózgu, który odgrywa ważną rolę w przetwarzaniu różnego rodzaju uczuć (szczególnie strachu). Ciało migdałowate ma dwojakie znaczenie: wpływa na wyższe czynności psychiczne powodowane emocjami oraz reguluje reakcje organizmu na emocje (np. podnosząc ciśnienie krwi i tętno)."
thalamus_title,Thalamus,Wzgórze
thalamus_body,"This is the brain’s ‘relay station’. Most of the information that reaches the Cortex from the body and other places in the nervous system (such as information from the senses, apart from the sense of smell) first goes through the Thalamus. Very basic processing of information takes place here, after which it is transmitted to the Cortex.","To „stacja przekaźnikowa” mózgu. Większość informacji, jakie docierają do kory mózgowej z ciała i innych miejsc w układzie nerwowym (np. informacje zmysłowe, poza zapachowymi), przechodzi najpierw przez wzgórze. Odbywa się tu wstępne przetwarzanie tych informacji przed przekazaniem ich do kory mózgowej."
hypothalamus_title,Hypothalamus,Podwzgórze
hypothalamus_body,"The Hypothalamus monitors some of the body’s basic behaviors. It regulates hunger and thirst, body temperature, and is responsible for the circadian rhythm. It is connected to many areas in the brain, activates the Pituitary Gland, and secretes hormones that affect processes that take place throughout the body.","Podwzgórze nadzoruje niektóre spośród podstawowych czynności ciała. Reguluje głód i pragnienie oraz temperaturę ciała. Odpowiada też za rytm okołodobowy. Ma powiązania z licznymi ośrodkami w mózgu, aktywuje przysadkę mózgową oraz wydziela hormony wpływające na procesy zachodzące w całym organizmie."
basal_ganglia_title,Basal Nuclei,Jądra podstawne
basal_ganglia_body,The Basal nuclei play a central role in regulating movement. Irregular activity on their part may result in Parkinson’s disease. It was recently discovered that they also play a part in cognitive processes that are not related to motion. One of the structures in this cluster is the Nucleus Accumbens – which plays a role in the system that generates reinforcement learning.,"Jądra podstawne odgrywają kluczową rolę w regulowaniu ruchu. Nieprawidłowości w ich działaniu mogą skutkować chorobą Parkinsona. Niedawno odkryto też, że biorą udział w procesach poznawczych niezwiązanych z ruchem. Jedną ze struktur w tym zgrupowaniu jest jądro półleżące, które odgrywa pewną rolę w układzie odpowiedzialnym za tzw. reinforcement learning (uczenie się przez wzmacnianie)."
cerebellum_title,Cerebellum,Móżdżek
cerebellum_body,"One of the most mysterious and fascinating areas of the nervous system. Despite comprising only 15% of the brain’s size, it contains 60% of the neurons. It is notable for its motor roles such as coordination, balance, precision and timing. Studies have found that it is also related to higher functions such as memory, learning, decision making, and emotion.","Jeden z najbardziej tajemniczych i fascynujących ośrodków układu nerwowego. Pomimo że stanowi tylko 15% objętości mózgu, zawiera 60% neuronów. Na uwagę zasługują jego funkcje ruchowe, takie jak koordynacja, równowaga, precyzja i synchronizacja. Badania pokazują, że ma również udział w wyższych funkcjach, takich jak pamięć, uczenie się, podejmowanie decyzji i emocje."
brain_stem_title,Brain Stem,Pień mózgu
brain_stem_body,"This is essential for the basic functions of the body and brain. It monitors and regulates the activity of major processes such as blood pressure; pulse and breathing. It also plays a significant role in regulating sleep, wakefulness, and the state of consciousness. It controls the face and eye muscles and is responsible for areas related to facial reflexes. It also contains the area responsible for pain relief.","Ma zasadnicze znaczenie dla podstawowych funkcji organizmu i mózgu. Nadzoruje i reguluje działanie najważniejszych procesów, takich jak ciśnienie krwi, tętno i oddychanie. Odgrywa również znaczącą rolę w regulowaniu snu, czuwania oraz stanu świadomości. Steruje mięśniami twarzy i odpowiada za ośrodki związane z odruchami ustno-twarzowymi. Zawiera również ośrodek odpowiedzialny za łagodzenie bólu."
