Key,AtlasText_english.json,AtlasText_hebrew.json,AtlasText_arabic.json
working_memory_body,"This used to be called ‘short term memory’. It contains all the memories we need to carry out the tasks we are currently engaged in, a little like a desk on which we are doing homework. Just like the desk, the working memory has limited space therefore it will only retain the information that is important right now.","נקרא בעבר ""זיכרון הטווח הקצר"". זהו סך הזיכרונות הנחוצים למשימות שאנו מְבַצְּעִים כרגע, קצת כמו שולחן שעליו מכינים את שיעורי הבית. כמו במקרה השולחן, גם בזיכרון העבודה שלנו יש מקום מוגבל, ולכן יישמר בו רק המידע שחשוב כרגע.","كانت تسمى في السابق ""ذاكرة قصيرة المدى"". هذا هو مجمل الذكريات اللازمة للمهام الّتي نقوم بها حاليًا، مثلها مثل الطاولة الّتي نقوم عليها بواجباتنا اليومية. كما هو الحال في الطاولة، توجد أيضًا مساحة محدودة لذاكرة ذاكرتنا العاملة، لذلك سيتم الحفاظ على المعلومات المهمة فقط في الوقت الحالي."
orientation_title,Orientation,התמצאות,تحديد المكان
orientation_body,"Thanks to the brain we have a pretty good understanding of where we are, what is closer to us and what is more distant, and how to get from place to place. In the Hippocampus there are cells that code the location we are in at any given moment, and it’s possible that they help us orient ourselves.","בזכות המוח אנו מסוגלים להבין די טוב היכן אנו נמצאים, מה קרוב יותר ורחוק יותר מאיתנו ואיך להגיע ממקום למקום. בהיפוקמפוס ישנם תאים הַמְּקֻדָּדִים למקום שבו אנו נמצאים בכל רגע נתון, וייתכן שהם מסייעים לנו להתמצא.",بفضل الدماغ يمكننا أن نفهم جيدًا أين مكاننا، وما هو أقرب وأبعد عنا وكيف ننتقل من مكان إلى آخر. في الحصين، توجد خلايا المشفرة الى المكان الذي نحن فيه في أيّ لحظة وقد تساعدنا في توجيه أنفسنا.
hunger_and_satiety_title,Hunger and Satiety,רעב ושובע,الجوع والشبع
hunger_and_satiety_body,"The nuclei of hunger and satiety in the Hypothalamus receive information from the digestive system and from many areas in the brain about our current condition, and they decide whether to generate the feeling of hunger or the feeling of satiety.","גרעיני הרעב והשובע בהיפותלמוּס שבמוח מקבלים מידע ממערכת העיכול ומשלל אזורים במוח על המצב שלנו, ומחליטים אם כדאי ליצור אצלנו תחושה שהגיע הזמן לאכול, או ליצור תחושה של שׂובע.",تتلقى خلايا الجوع والشبع في منطقة تحت المهاد (الهايبوثلاموس) في الدماغ معلومات من الجهاز الهضمي ومناطق أخرى في الدماغ عن وضعنا وتقرر ما إذا كان من المفيد أن نخلق عندنا الشعور بأنه قد حان الوقت لتناول الطعام، أو خلق شعور بالشبع.
circadian_clocks_title,Circadian Rhythm,שעונים ביולוגיים,ساعات بيولوجية
circadian_clocks_body,"Our circadian clock is located in the Hypothalamus and helps us determine if it is day or night, even  without knowing if the sun is shining or not. The clock can be reset with sunlight – that is how we become accustomed to the new schedule set by the sun when we fly to another country.",השעון הביולוגי שלנו שממוקם בהיפותלמוס עוזר להבין מתי יום ומתי לילה גם בלי שנדע אם השמש מאירה בחוץ. אפשר לכוון את השעון מחדש בעזרת אור השמש – כך אנו מִתְרַגְּלִים לסדר היום החדש שקובעת השמש בארץ שאליה אנו מגיעים.,تساعدنا الساعة البيولوجية الموجودة في منطقة تحت المهاد (الهايبوثلاموس) على فهم متى نهار ومتى ليل دون معرفة ما إذا كانت الشمس مضيئة في الخارج. يمكن إعادة ضبط الساعة بمساعدة ضوء الشمس - لذلك نحن نعتاد على جدول الأعمال الجديد الذي وضعته الشمس في الدولة الّتي وصلنا إليها.
breath_and_heartbeat_regulation_title,Breathing and Heartbeat Regulation,שליטה בנשימה ובקצב הלב,سيطرة على التنفس ومعدل ضربات القلب
breath_and_heartbeat_regulation_body,"Our heart and lungs don’t work randomly. They are regulated by the Brain Stem, which slows or speeds their actions as necessary. For instance, when we run we need a lot of oxygen so the brain raises our breathing and heart rate.","הלב והריאות אינם פועלים סתם כך. גזע המוח שלנו שולט בהם, מֵאֵט או מאיץ את פעילותם במקרה הצורך. כך למשל, כשאנו רצים אנו זקוקים להרבה חמצן, לכן המוח מעלה את קצב הנשימה וקצב הלב.",القلب والرئتين لا يعملان هكذا. يتحكم بهم جذع الدماغ لدينا ويبطئ أو يُسّرع نشاطهم إذا لزم الأمر. على سبيل المثال، عندما نركض نحتاج إلى الكثير من الأكسجين وبالتالي فإن الدماغ يزيد من معدل التنفس ومعدل ضربات القلب.
conscious_state_title,Conscious State,מצבי הכרה,حالات الوعي
conscious_state_body,"Different areas in the brain work differently when we are awake and when we are sleeping, and a change in their activity can cause us to fall asleep or to wake up. In some cases of disorders of consciousness, such as a coma or vegetative state, these areas are damaged.","אזורים שונים במוח פועלים באופן אחר כשאנו ישנים וכשאנו ערים, ושינוי בפעילוּת שלהם יכול לגרום לנו להירדם או להתעורר. במקרים רבים בהם יש פגיעה בהכרה, כמו בתַרְדֶּמֶת או במצב ""צֶמַח"", קיימת פגיעה באזורים האלה.","مناطق مختلفة من الدماغ تعمل بشكل مختلف عندما ننام وعندما نكون مستيقظين، التغيير في نشاطها يمكن أن تجعلنا ننام أو نستيقظ. في حالات كثيرة يكون فيها ضرر في الوعي، كما في الحلم أو ""الحالة السريرية""، هناك ضرر لهذه المناطق."
cortex_title,The Cortex,הַקּוֹרְטֶקְס,القشرة
frontal_lobe_title,Frontal Lobe,הָאוּנָה המצחית,الفص الجبهي
frontal_lobe_body,"Located at the front of the brain, this is the largest of the four lobes. The areas within it are responsible for many functions: the Motor Cortex is responsible for movement; Broca’s Area is responsible for language production; and the Prefrontal Cortex plays an important role in higher brain functions such as strategic thinking and decision making.","ממוקמת בקִדְמַת המוח, האונה הגדולה ביותר מבין ארבע האונות. מכילה אזורים בעלי תפקידים רבּים ומגוונים: קליפת המוח המוטורית החשובה לתנועה; אזור בָּרוֹקָה האחראי על הבעת שפה וקליפת המוח הקדם-מצחית החשובה לתפקודים גבוהים של המוח כמו חשיבה אסטרטגית וקבלת החלטות.",يقع في مقدمة الدماغ، وهو أكبر الفصوص الأربعة. يحتوي على مناطق بها العديد من الوظائف المختلفة: القشرة الحركية المهمة للحركة؛ منطقة بروكا المسؤولة عن التعبير اللغوي والقشرة امام جبهية المهمة لوظائف الدماغ العليا مثل التفكير الاستراتيجي واتخاذ القرارات.
motor_cortex_title,Primary Motor Cortex,קליפת המוח המוטורית,قشرة الدماغ الحركية
motor_cortex_body,"This area is responsible for movement. Commands that originate in the Primary Motor Cortex are sent to the Spinal Cord that transmits them to the muscles, which contract and relax accordingly. Different areas in the Primary Motor Cortex are responsible for different organs, from the feet to the face. The forefront of this area is responsible for complex tasks such as planning movement and movement sequences.","אחראית על תנועה. הפקודות יוצאות ממנה לחוט הַשִּׁדְרָה ומשם לשרירים שמתכווצים ומתרפים לפיהן. אזורים שונים בקליפת המוח המוטורית אחראים על תנועת השרירים באזורים שונים בגוף, מהרגליים ועד לפנים. החלק הקדמי יותר של האזור אחראי על משימות מורכבות כמו תכנון תנועה ורצפי תנועות.",مسؤولة عن الحركة. تنتقل الأوامر منها إلى النخاع الشوكي ومن هناك إلى العضلات الّتي تتقلص وتسترخي وفقًا لهم. مناطق مختلفة من قشرة الدماغ الحركية هي المسؤولة عن حركة العضلات في مناطق مختلفة في الجسم، من الساقين وحتى الوجه. الجزء الأمامي من المنطقة مسؤول عن المهام المعقدة مثل تخطيط الحركة وتسلسل الحركة.
broca_area_title,Broca's Area,אזור בּרוֹקָה,منطقة بروكا
broca_area_body,"This is one of the two areas in the brain responsible for language. It is located usually on the left side of the brain and is important for syntax and speech production (patients with damage in this area will have difficulty talking, although they will understand what is said to them). Research also attributes non-language functions to this area, such as music and working memory.","אחד משני האזורים החשובים לשׂפה במוח. לרוב נמצא רק בצד שמאל של המוח. חשוב להבעת שפה; הפקת דיבור והבנת תחביר (חולים שנפגעו באזור זה יתקשו לְדַבֵּר, אף שיבינו מה שייאמר להם). מחקרים מְקַשְּׁרִים אותו גם לתפקידים בלתי שפתיים כמו מוזיקה וזיכרון עבודה.",واحدة من أهم منطقتي اللغة في الدماغ. عادةً توجد فقط في الجانب الأيسر للدماغ. مهمة للتعبير عن اللغة؛ إنتاج الكلام وفهم بناء الجملة (المرضى الذين أصيبت عندهم هذه المنطقة سيجدون صعوبة في التحدث، على الرغم من أنهم سيفهمون ما يُقال لهم). تربطها الدراسات أيضًا بأدوار غير شفهية مثل الموسيقى والذاكرة العاملة.
prefrontal_cortex_title,Prefrontal Cortex,קליפת המוח הַקְּדַם-מצחית,قشرة أمام جبهية
prefrontal_cortex_body,"One of the most important areas in the brain. It is mainly responsible for high functions such as decision making; planning and management; social behavior; and rational thinking. It is also involved in learning processes, memory, and attention. Researchers attribute intelligence, and our characteristics and personality to this area. Different diseases, such as schizophrenia and autism, are characterized with changes in this area.","מהאזורים החשובים ביותר במוח. אחראי בעיקר על תפקודים גבוהים כמו קבלת החלטות; תכנון וניהול; התנהגות חברתית; חשיבה רציונלית ועוד. מעורב בתהליכי למידה, זיכרון וקֶשֶׁב. חוקרים מְקַשְּׁרִים אזור זה לאינטליגנציה, לאישיוּת ולאופי שלנו. במחלות שונות, מסכיזופרניה ועד אוטיזם, מזהים בו שינויים.",من أهم المناطق الموجودة في الدماغ. مسؤولة في المقام الأول عن الوظائف العالية مثل صنع القرار؛ التخطيط والإدارة؛ السلوك الاجتماعي؛ التفكير العقلاني وأكثر من ذلك. تشارك في عمليات التعلم والذاكرة والانتباه. يربط الباحثون هذه المنطقة بذكائنا وشخصيتنا وطباعنا. وفي أمراض مختلفة، من انفصام الشخصية إلى مرض التوحد، يمكن التعرف على تغييرات قد حدثت في هذه المنطقة.
parietal_lobe_title,Parietal Lobe,הָאוּנָה הקודקודית,الفص الجداري
parietal_lobe_body,"This is a significant lobe in the cortex. It has a wide range of functions, from processing sensory information from the body in the Somatosensory Cortex to higher functions that take place in the Posterior Parietal Cortex.","אונה מרכזית ומשמעותית בקליפת המוח. יש לה מגוון רחב מאוד של תפקידים, מעיבוד המידע התחושתי מכל רחבי הגוף בקליפת המוח התחושתית ועד תפקידים גבוהים יותר המתבצעים באונה הקודקודית האחורית.",فص مركزي وهام في القشرة الدماغية. لديه مجموعة واسعة من الأدوار، من المعالجة الحسّية في جميع أنحاء الجسم في القشرة الدماغية إلى الأدوار العليا في الفص الجداري الخلفي.
somatosensory_cortex_title,Somatosensory Cortex,קליפת המוח התחושתית,قشرة الدماغ الحسّية
somatosensory_cortex_body,"This is responsible for processing touch as well as processing pain, vibrations, and temperature. This area receives information from receptors spread throughout the body and transmits information through the Spinal Cord and the Brain Stem.","אחראית על עיבוד תחושת המגע והמישוש וכן על עיבוד של כְּאֵב, רֶטֶט וטמפרטורה. אזור זה מקבל מידע מקולטנים המפוזרים בכל הגוף ומעבירים מידע דרך חוט השדרה וגזע המוח.",مسؤولة عن معالجة حاسة اللمس ، وكذلك معالجة الألم والاهتزاز ودرجة الحرارة. تتلقى هذه المنطقة المعلومات من المُستقبلات الموزعة في جميع أنحاء الجسم وتنقل المعلومات عبر الحبل الشوكي وجذع الدماغ.
posterior_parietal_lobe_title,Posterior Parietal Cortex,קליפת המוח הקודקודית האחורית,الفص الجداري الخلفي
posterior_parietal_lobe_body,"This contains areas responsible for higher functions of the brain, such as coordinating between the sense of sight and the sense of touch, and synchronizing these senses with motor functions. It is involved in actions related to math and logic, and also in high level functions such as attention, working memory, notion of ‘self’ and of space.","מכילה אזורים שאחראים על תפקודים גבוהים של המוח כמו תיאום בין חוש הראייה לחוש המישוש, וסִנְכְּרוּן בין החושים האלה ובין פעולות מוטוריות. מעורבת בפעולות הקשורות למתמטיקה ולוגיקה, וקשורה לתפקידים מרכזיים כמו קֶשֶׁב, זיכרון עבודה ותפיסת ה""עצמי"" והמרחב.","يحتوي على مناطق مسؤولة عن وظائف الدماغ العالية مثل التنسيق بين حاسة البصر واللمس، والتزامن بين هذه الحواس والوظائف الحركية. يشارك في الأنشطة المتعلقة بالرياضيات والمنطق ويرتبط بالوظائف الرئيسية مثل الإصغاء، ذاكرة العمل وتصور ""الذات"" والفراغ."
occipital_lobe_title,Occipital Lobe,הָאוּנָה העורפית,الفص القذالي
occipital_lobe_body,"Responsible for processing visual information. The primary area in which the information is first received, carry out basic characteristic processing such as location of the object we see and its orientation. The more advanced areas process aspects such as movement and color. The information is then transmitted to other lobes for further processing.",אחראית על עיבוד מידע מחוש הראייה. באזורים הראשונים שמקבלים את המידע מתרחש עיבוד מאפיינים בסיסיים כמו מיקום האובייקט שאנו רואים והזווית שבה הוא נמצא. באזורים מתקדמים יותר מְעַבְּדִים דברים כמו צבע ותנועה. המידע עובר מכאן לאונות אחרות להמשך עיבוד התמונה.,الفص الصدغي يجلس على جانبي الدماغ خلف الصدغ. إنه يلعب دورًا مهمًا في معالجة المعلومات من الحواس. المناطق المختلفة داخل هذا الفص هي المسؤولة عن معالجة المعلومات البصرية والسمعية والرائحة.
temporal_lobe_title,Temporal Lobe,הָאוּנָה הרקתית,الفص الصدغي
temporal_lobe_body,"The Temporal Lobe is located at the sides of the brain, behind the temples. It plays a significant role in processing sensory information. Different areas within this lobe are responsible for processing information from the senses of sight, sound, and smell.","האונה הרקתית יושבת בצידי המוח מאחורי הָרַקָּה. יש לה תפקיד משמעותי בעיבוד מידע מהחושים. אזורים שונים בתוך האונה הזו אחראים על עיבוד מידע מחוּשֵׁי הראייה, השמיעה והריח.","Temporal Lobeخطّة لكون الإقتصادية بل أضف. حتى هو بينما وأزيز يرتبط, ان بوابة بلديهما بعد. أمدها والديون تم يكن, أضف النفط وإعلان للسيطرة مع, الى دفّة الخارجية ما. هو الله عرفها كانتا انه, إذ قائمة وبحلول وإعلان تعد. وجهان تكتيكاً التقليدي في يكن, أم كما أكثر كثيرة جزيرتي. عل عُقر وزارة."
auditory_cortex_title,Auditory Cortex,קליפת המוח השמיעתית,قشرة الدماغ السمعية
auditory_cortex_body,This is responsible for processing information of sound. It is divided into sub-sections: the primary area is the first in the cortex to receive the auditory information; It then transmits it to the secondary areas that are responsible for more complex hearing functions such as processing music.,"אחראית על עיבוד המידע מחוש השמיעה. מחולקת לתתי-אזורים: האזור הראשוני מקבל תחילה את הקלט השמיעתי שמגיע לקליפת המוח, והאזורים השניוניים שסביבו אחראים על תפקידים מורכבים יותר של השמיעה כמו עיבוד מוזיקה.",مسؤولة عن معالجة المعلومات من السمع. مقسمة إلى مناطق فرعية: المنطقة الأساسية تتلقى أولاً المدخلات السمعية التي تصل إلى القشرة والمناطق الثانوية المحيطة بها مسؤولة عن وظائف أكثر تعقيدًا في السمع مثل معالجة الموسيقى.
wernicke_area_title,Wernicke’s Area,אזור וֶרְנִיקָה,منطقة ويرنيكا
wernicke_area_body,"One of the two language areas in the brain. It is responsible for language comprehension, but not language production. Patients with damage in this area have a normal speech flow but cannot understand what they are saying. This area only exists on one side of the brain (usually on the left).","אחד מִשְּׁנֵי אזורי השׂפה במוח. אחראי על הבנת השפה, אבל לא על הבעת שפה. חולים שנפגעו באזור זה מְדַבְּרִים בְּשֶׁטֶף כמו אנשים בריאים, אך לא מבינים מה הם אומרים. אזור זה קיים רק בצד אחד של המוח (לרוב בצד שמאל).",واحدة من منطقتي اللغة في الدماغ. مسؤولة عن فهم اللغة المكتوبة ، ولكن ليس عن التعبير عن اللغة. يتكلم المرضى المصابون في هذا المنطقة بطلاقة مثل الأشخاص الأصحاء، لكنهم لا يفهمون ما يقولونه. هذه المنطقة موجودة فقط على جانب واحد من الدماغ (عادةً في الجانب الأيسر).
median_and_inferior_temporal_lobe_title,Medial and Inferior Temporal Lobe,הָאוּנָה הָרַקָּתִית האמצעית והתחתונה,الفص الصدغي الأوسط والسفلي
median_and_inferior_temporal_lobe_body,"This part contains the areas responsible for more complex processing of the visual information, such as face recognition, object recognition, and background recognition.","בחלק זה נמצאים אזורים אשר אחראים על עיבוד מורכב יותר של התמונה המגיעה מחוש הראייה, דוגמת אזורים הקשורים לזיהוי פָּנִים, זיהוי אובייקטים וזיהוי רֶקַע.",في هذا القسم، هناك مناطق مسؤولة عن المعالجة الأكثر تعقيدًا للصورة القادمة من حاسة البصر، مثل المناطق المتعلقة بتحديد ملامح الوجه والتعرف على الأشياء والتعرف على الخلفية.
piriform_cortex_title,Piriform Cortex,קליפת המוח הפּיריפוֹרמית,القشرة الكمثرية
piriform_cortex_body,"This is the area of the cortex responsible for processing information from the sense of smell. It receives information from the smell organs. In humans this area is very small relative to other parts of the brain, which may indicate that the sense of smell has a less important role in our lives compared to other species.","האזור המרכזי בקליפת המוח אשר אחראי על עיבוד המידע מחוש הריח. מקבל את המידע שלו מאיברי הַחִישָׁה של מערכת הריח. בהשוואה למינים אחרים, בבני אדם האזור הזה קטן מאוד ביחס לשאר המוח, מה שעשוי להעיד על כך שחוש הריח ממלא אצלנו תפקיד פחות מרכזי בהשוואה למינים אחרים.",المنطقة المركزية في قشرة الدماغ المسؤولة عن معالجة المعلومات من حاسة الشم. تحصل على معلوماتها من الأعضاء الحسّية للجهاز الشمي. مقارنةً بالأنواع الأخرى، تُعّد هذه المنطقة في البشر صغيرة جدًا مقارنةً بباقي الدماغ، مما قد يشير إلى أن حاسة الشم تلعب دورًا أقل أهمية مقارنةً مع الأنواع الأخرى.
limbic_cortex_title,Limbic Cortex,קליפת המוח הַלִּימְבִּית,الفص الحوفي
limbic_cortex_body,"This relates to a wealth of processes related to behavior. It is important for social behavior; processing emotions; motivation; learning; and memory. The Limbic system has additional components that are not in the cortex, such as the Amygdala and the Hippocampus.","קשורה לשלל תהליכים שקשורים להתנהגות. חשובה להתנהגות חברתית וכן לעיבוד רגשות; מוטיבציה; למידה וזיכרון. למערכת הלימבית יש חלקים נוספים שאינם בקליפת המוח, כמו האמיגדלה וההיפוקמפוס.",يرتبط بمجموعة متنوعة من العمليات السلوكية. مهم للسلوك الاجتماعي ومعالجة العواطف؛ التحفيز؛ التعلم والذاكرة. يحتوي الجهاز الحُوفِيّ على أجزاء أخرى غير موجودة في قشرة الدماغ، مثل اللوزة والحصين.
insula_title,Insula,אִינְסוֹלָה,فص جزيري
insula_body,"This part of the cortex is folded deep within the brain and cannot be seen from outside. The insula is related to various emotions such as disgust, and emotional reactions to external stimuli. It is involved in tasks such as monitoring bodily activities but also higher brain processes.","חלק זה של קליפת המוח מקופל לעומק המוח ואי אפשר להבחין בו במבט חיצוני. האינסולה קשורה לרגשות שונים כמו גועל, ולתגובה רגשית לגירויים חיצוניים. מעורבת הן במשימות כמו בַּקָּרָה על פעילות הגוּף הן בתהליכים גבוהים של המוח.",هذا الجزء من القشرة مطوي في عمق الدماغ ولا يمكن رؤيته من الخارج. يرتبط الفص الجزيري بمشاعر مختلفة مثل الاشمئزاز والاستجابة العاطفية للمنبهات الخارجية. يشارك في مهام مثل مراقبة فعالية الأطراف في عمليات الدماغ العليا.
gustatory_cortex_title,Gustatory Cortex,קליפת המוח הגוֹסטטוֹרית,قشرة الدماغ التذوقية
gustatory_cortex_body,"This area is responsible for processing information from the sense of taste. The information arrives from taste receptors placed in the mouth (mainly on the tongue), flows through the Brain Stem and the Thalamus, reaching the Gustatory Cortex. The Gustatory Cortex is composed of two parts, one in the insula, and the second at the bottom of the Frontal Lobe.","אחראית על עיבוד המידע מחוש הטעם. המידע מגיע מקוֹלטני הטעם שיושבים בפה (בעיקר על הלשון), עובר דרך גזע המוח והתלמוס ומגיע לקליפת המוח הגוסטטורית. לאזור זה שני חלקים, האחד באינסולה, והשני בתחתית האונה המצחית.",مسؤولة عن معالجة المعلومات من التذوق. تأتي المعلومات من مُستقبلات التذوق الّتي في الفم (خاصةً على اللسان) وتمر عبر جذع الدماغ والمهاد وتصل إلى قشرة الدماغ التذوقية. تحتوي هذه المنطقة على جزأين، أحدهما في الفص الجزيري والآخر في الجزء السفلي من الفص الجبهي.
deep_nuclei_in_the_forebrain_title,Deep Cerebellar Nuclei,גרעינים עמוקים,نوى عميقة
hippocampus_title,Hippocampus,היפּוֹקמפּוֹס,هيبوكمبوس (الحصين)
