Key,en,pl
RN_DRAWING_SCREEN_3D_MODEL_EXPLANATION,"Reconstructing the cell structure:
In this stage you marked a real neuron in a biological brain slice.
Based on your marking, the
computer created a digital structure of the neuron.",Rekonstrukcja budowy komórki: w tej części doświadczenia zaznaczyłeś prawdziwy neuron na preparacie mikroskopowym mózgu. Na podstawie twojego zaznaczenia komputer stworzył cyfrową strukturę neuronu. 
RN_DRAWING_SCREEN_LIGHTNING_EXPLANATION,"Activating the cell:
In this stage you added electricity to the structure of the digital cell and activated it.",Aktywacja komórki: w tej części doświadczenia doprowadziłeś do cyfrowej komórki impuls elektryczny i aktywowałeś ją.
RN_DRAWING_SCREEN_CONTINUE_BUTTON_TEXT,Next,Dalej
RN_SUMMARY_SCREEN_HEADER,Congratulations!,Gratulacje!
RN_SUMMARY_SCREEN_SUB_HEADER,You have reconstructed an active 3D model of a nerve cell,Zrekonstruowałeś aktywny trójwymiarowy model komórki nerwowej.
RN_SUMMARY_SCREEN_SUMMARY_HEADER,Why do we need to model a cell?,Po co modelujemy komórki?
RN_SUMMARY_SCREEN_SUMMARY_TEXT,"The brain is composed by cells. After modeling many cells, we can create a whole digital brain, and perform experiments
on it that cannot be done on humans. For instance, we can cause the digital brain to have the Alzheimer's disease, and then we can discover what the brain activity is during the disease. Hopefully, a digital model of the brain will provide the breakthrough to develop medication that will change the lives of many patients.","Mózg składa się z komórek. Po wymodelowaniu wielu komórek możemy stworzyć cały cyfrowy mózg i przeprowadzać eksperymenty, których nie możemy prowadzić na ludziach. Możemy na przykład sprawić, że nasz cyfrowy mózg zachoruje na chorobę Alzheimera, a potem badać jego aktywność w przebiegu choroby. Mamy nadzieję, że cyfrowy model mózgu pozwoli stworzyć przełomowy lek, który zmieni życie wielu pacjentów."
RN_SUMMARY_SCREEN_DRAWING_TEXT,Brain cell tissue,Tkanka mózgowa
RN_SUMMARY_SCREEN_MODELING_TEXT,Reconstructing the cell structure,Rekonstrukcja budowy komórki
RN_SUMMARY_SCREEN_ELECTRIFY_TEXT,Activating the cell,Aktywacja komórki
RN_SUMMARY_SCREEN_ANOTHER_NEURON_BUTTON_TEXT,Reconstruct another cell,Rekonstrukcja kolejnej komórki
DFAM_OPENING_SCREEN_HEADER,Doctor for a moment,Zabawa w doktora
DFAM_OPENING_SCREEN_SUB_HEADER,"You have an opportunity to be a doctor
Tap the button and meet your new patient","Masz okazję być przez chwilę lekarzem. Naciśnij przycisk, by poznać swojego nowego pacjenta. "
DFAM_OPENING_SCREEN_BUTTON_TEXT,Start,Start
DFAM_EXP_SCREEN_BUTTON_TEXT,Continue,Dalej
DFAM_EXP_SCREEN_HEADER_TEXT,Your new patient describes a state of confusion and forgetfulness.          Does he have Alzheimer's disease?,Twój nowy pacjent opisuje stan dezorientacji i zawodnej pamięci. Czy cierpi na chorobę Alzheimera?
DFAM_EXP_SCREEN_INFO_TEXT,"To diagnose him, you need to carry out a number of tests.
In Alzheimer's the neurons in the brain die gradually, causing damage to cognitive abilities such as memory, orientation, and more.","By go zdiagnozować, musisz przeprowadzić serię badań. W chorobie Alzheimera neurony w mózgu stopniowo obumierają, co pogarsza zdolności poznawcze, takie jak pamięć, orientacja itp."
DFAM_CHOOSE_TEST_INSTRUCTION,Select the test you wish to conduct on the patiant,"Wybierz badanie, któremu chcesz poddać pacjenta."
DFAM_CHOOSE_TEST_SELECT_BUTTON_TEXT,Run test,Rozpocznij badanie
DFAM_COGNITIVE_TEST_NAME,Cognitive tests,Testy kognitywne
DFAM_COGNITIVE_TEST_DESC,"Cognitive tests are a list of tasks testing the
performance of various brain functions",Testy kognitywne to seria zadań sprawdzających działanie różnych funkcji mózgu
DFAM_PET_TEST_NAME,PET test,Badanie PET
DFAM_PET_TEST_DESC,"A PET (Positron Emission Tomography) test is a scan of the brain measuring the concentration of particular substances. For instance, a PET scan can search for beta-amyloid plaques, which are
common only among Alzheimerג€™s patients.","Badanie PET (pozytonowa tomografia emisyjna) polega na skanowaniu mózgu pod kątem stężeń określonych substancji. Badanie PET może na przykład służyć do poszukiwania płytek beta-amyloidowych, których obecność jest typowa dla pacjentów z chorobą Alzheimera."
DFAM_MRI_TEST_NAME,MRI test,Badanie MRI
DFAM_MRI_TEST_DESC,"An MRI (Magnetic Resonance Imaging) test is a scan of the brain using radio waves and a strong magnetic field. The scan creates an
image of the brain and the state it is in.",Badanie MRI (obrazowanie metodą rezonansu magnetycznego) polega na skanowaniu mózgu za pomocą fal radiowych i silnego pola magnetycznego. Skan tworzy obraz mózgu i jego stanu.
DFAM_TEST_IN_PROGRESS_HEADER_MRI,An MRI scan is taking place,Trwa badanie MRI.
DFAM_TEST_IN_PROGRESS_HEADER_PET,A PET scan is taking place,Trwa badanie PET.
DFAM_TEST_IN_PROGRESS_HEADER_COGNITIVE,A cognitive test is taking place,Trwają testy kognitywne.
DFAM_TEST_IN_PROGRESS_SUB_HEADER_MRI,Follow the process on the patient model,Śledź postęp na modelu pacjenta.
DFAM_TEST_IN_PROGRESS_SUB_HEADER_PET,Follow the process on the patient model,Śledź postęp na modelu pacjenta.
DFAM_TEST_RESULTS_HEADER_COGNITIVE,Cognitive test results,Wyniki testów kognitywnych
DFAM_TEST_RESULTS_HEADER_PET,PET test results,Wyniki badania PET
DFAM_TEST_RESULTS_HEADER_MRI,MRI test results,Wyniki badania MRI
DFAM_TEST_RESULTS_DESC_COGNITIVE,"Drawing a clock requires mental abilities that are damaged by Alzheimer's, such as
management, understanding numbers, knowledge retrieval and more.","Rysowanie zegara wymaga zdolności umysłowych, które choroba Alzheimera pogarsza, takich jak radzenie sobie, rozumienie liczb, przywoływanie wiedzy itd."
DFAM_TEST_RESULTS_DESC_PET,"Brains of Alzheimer's patients show many plaques of beta-amyloid protein that are not found in the brains of healthy people. If we mark these plaques with radioactive materials and conduct a PET scan, we would expect to see many areas with high concentration (in red and yellow).","Mózgi pacjentów z chorobą Alzheimera wykazują obecność dużej ilości ilości płytek białka zwanego beta-amyloidem, które nie występuje w mózgach osób zdrowych. Jeśli oznaczymy te płytki markerem radioaktywnym i przeprowadzimy badanie PET, zobaczymy obszary z dużą ich koncentracją (czerwone i żółte)."
DFAM_TEST_RESULTS_DESC_MRI,"In Alzheimer's disease, cells die throughout the brain and the brain tissue becomes thin, containing less and less cells (and more and more black fissures in the brain).","W chorobie Alzheimera komórki obumierają w całym mózgu, co powoduje, że tkanka mózgowa staje się cieńsza i zawiera coraz mniej komórek (a coraz więcej czarnych bruzd)."
DFAM_TEST_RESULTS_MORE_TESTS_BUTTON_TEXT,Run more tests,Przeprowadź więcej badań
DFAM_TEST_RESULTS_HEALTHY_HEADER,Healthy patient,Zdrowy pacjent
DFAM_TEST_RESULTS_RESULTS_HEADER,Test result,Wynik badania
DFAM_CHOOSE_TEST_DONE_SELECT_BUTTON_TEXT,See results,Sprawdź wyniki
DFAM_DIAGNOSE_BUTTON_TEXT,Diagnose,Diagnoza
DFAM_DIAGNOSE_YES_BUTTON_TEXT,Yes,Tak
DFAM_DIAGNOSE_NO_BUTTON_TEXT,No,Nie
DFAM_DIAGNOSE_QUESTION_TEXT,Does the patient have Alzheimer's?,Czy pacjent cierpi na chorobę Alzheimera?
DFAM_EVALUATION_SCREEN_CORRECT_HEADER,The diagnosis is correct,Diagnoza jest prawidłowa.
DFAM_EVALUATION_SCREEN_INCORRECT_HEADER,"The diagnosis is incorrect, please try again",Diagnoza jest nieprawidłowa. Spróbuj jeszcze raz.
DFAM_EVALUATION_SCREEN_HEALTHY_HEADER,The patient does not have Alzheimer's,Pacjent nie cierpi na chorobę Alzheimera.
DFAM_EVALUATION_SCREEN_NOT_HEALTHY_HEADER,The patient has Alzheimer's,Pacjent cierpi na chorobę Alzheimera.
DFAM_EVALUATION_ANOTHER_PATIENT_TEXT,Accept the next patient,Przyjmij kolejnego pacjenta
DFAM_EVALUATION_LEARN_MORE_TEXT,Learn more,Dowiedz się więcej
DFAM_LEARN_MORE_BACK_BUTTON_TEXT,Back,Wstecz
DFAM_LEARN_MORE_HEALTHY_DESC_TEXT,"The tests do not seem to indicate the patient
has Alzheimer's.
The MRI scan shows a normal brain. In Alzheimer's, cells die throughout the brain so that the brain tissue becomes thin, unlike the case of our patient.

Many abilities related to drawing a clock, such as knowledge retrieval and management, are impaired in Alzheimer's patients. However, our patient was able to draw a clock properly.

The PET scan indicating beta-amyloid plaques very common among Alzheimer's patients (but not in healthy
brains) showed no red concentrations at all.
Meaning, there are no beta-amyloid plaques in our patient's brain, as opposed to what we would expect to find in an Alzheimer's patient.","Badania nie wydają się potwierdzać, że pacjent ma chorobę Alzheimera. 

Badanie MRI pokazuje normalny stan mózgu. W chorobie Alzheimera komórki obumierają w całym mózgu, prowadząc do zmniejszenia grubości tkanki mózgowej, co nie ma miejsca w przypadku naszego pacjenta. 

Wiele zdolności wymaganych przy rysowaniu zegara, takich jak przywoływanie wiedzy i jej wykorzystywanie, ulega pogorszeniu u pacjentów z chorobą Alzheimera. Nasz pacjent jednak dobrze radził sobie z rysowaniem zegara.

Badanie PET wykrywające płytki beta-amyloidowe, typowe dla chorych na chorobę Alzheimera (lecz nie dla zdrowego mózgu), nie wykazało żadnych czerwonych obszarów. Oznacza to, że w mózgu pacjenta nie ma płytek beta-amyloidowych, których spodziewalibyśmy się u pacjenta z chorobą Alzheimera.              "
DFAM_LEARN_MORE_NOT_HEALTHY_DESC_TEXT,"Our patient does have Alzheimer's.
The MRI scan showed that the brain tissue is very thin because of the extensive death of neuron cells that takes place in Alzheimer's disease.

The death of the cells damages various brain abilities such as management and knowledge retrieval. For this reason the patient was unable to draw a clock properly.

The PET scan marked plaques of beta-amyloid that are very common in Alzheimers patients (but not in
healthy brains), showing many red and yellow concentrations. These areas show a high concentration of
beta-amyloid.","Nasz pacjent rzeczywiście cierpi na chorobę Alzheimera.

Badanie MRI wykazało, że tkanka mózgowa jest bardzo cienka za sprawą masowego obumierania neuronów, typowego dla choroby Alzheimera.

Obumieranie komórek obniża różne zdolności mózgu, takie zarządzanie i przywoływanie wiedzy. Dlatego pacjent nie radził sobie z rysowaniem zegara.

Badanie PET wykryło płytki beta-amyloidowe, bardzo typowe dla pacjentów z chorobą Alzheimera (lecz nie dla zdrowego mózgu). Na skanie pojawiły się liczne czerwone i żółte obszary, świadczące o wysokim stężeniu beta-amyloidu."
OS_HBP_TEXT,About the Human Brain Project,O Human Brain Project
OS_WHAT_IS_THE_QUESTION_TEXT,"What's the question?!
Conversations of young researchers","Jak brzmi pytanie?!
Rozmowy z młodymi badaczami"
OS_CAJAL_TEXT,Santiago Ramón y Cajal,Santiago Ramón y Cajal
OS_MAP_TEXT,"The Human Brain Project
in Europe",Human Brain Project w Europie
OS_BRAIN_STRUCTURES_MAP_TEXT,"Brain structures
Laboratory findings","Struktury mózgu
Ustalenia laboratoryjne"
OS_10_QUESTIONS_TEXT,10 unanswered questions about the human brain,"10 pytań o ludzki mózg, które pozostają bez odpowiedzi"
OS_DANCING_NEURON_TEXT,The Electrically Dancing Neuron,Elektryczny taniec neuronu
OS_MTB_TEXT,Credits,Autorzy
OS_MAP_SELECT_DOT_INSTRUCTIONS,Select any dot on the map to learn more,Wybierz dowolną kropkę na mapie i dowiedz się więcej
OS_MAP_PLAY_VIDEO_BUTTON_TEXT,Play video,Odtwórz wideo
OS_MAP_P1_NAME,The Federal Institute of Technology in Lausanne,Politechnika Federalna w Lozannie
OS_MAP_P1_CITY,"Lausanne, Switzerland","Lozanna, Szwajcaria"
OS_MAP_P2_NAME,Aalto University Foundation,Fundacja Uniwersytetu Aalto
OS_MAP_P2_CITY,"Espoo, Finland","Espoo, Finlandia"
OS_MAP_P3_NAME,University Hospital Leiden - Leiden University Medical Center,Szpital Uniwersytecki w Lejdzie – Centrum Medyczne Uniwersytetu w Lejdzie
OS_MAP_P3_CITY,"Leiden, The Netherlands","Lejda, Holandia"
OS_MAP_P4_NAME,Athens University of Economics and Business,Ateński Uniwersytet Ekonomiczno-Biznesowy (AUEB)
OS_MAP_P4_CITY,"Athens, Greece","Ateny, Grecja"
OS_MAP_P4_DESC,"The Data Science group at the AUEB conducts research on and builds services for aligning, cleaning, integrating, and enriching clinical data from participating hospitals so as to be imported to the Medical Informatics Platform of the HBP. The group also works on Big Data processing and Data Management for Machine Learning.","Zespół Data Science przy AUEB prowadzi badania i świadczy usługi w zakresie dostosowywania, oczyszczania, integrowania i wzbogacania danych klinicznych pochodzących ze współpracujących szpitali, które następnie zasilają Platformę Informatyki Medycznej HBP. Zespół ten pracuje również nad przetwarzaniem big data oraz zarządzaniem danymi na potrzeby uczenia maszynowego."
OS_MAP_P5_NAME,National Supercomputing Center,Krajowe Centrum Superobliczeniowe (BSC)
OS_MAP_P5_CITY,"Barcelona, Spain","Barcelona, Hiszpania"
OS_MAP_P5_DESC,"BSC is the Spanish National facility for
supercomputing, specializes in High Performance Computing and hosts MareNostrum, one of the most powerful supercomputers in Europe. BSC contributes
towards the creation of the HPAC Platform,
providing supercomputing capacities for the
Neuroscience Community and developing the FENIX infrastructure for the benefit of HBP users.","BSC jest hiszpańską krajową jednostką superkomputerową. Specjalizuje się w obliczeniach wysokiej wydajności (HPC) i dysponuje MareNostrum, jednym z najpotężniejszych superkomputerów w Europie. BSC ma udział w tworzeniu platformy HPAC, zapewniającej moce superobliczeniowe na potrzeby społeczności neuronaukowej, a także tworzy infrastrukturę FENIX dla użytkowników HBP."
OS_MAP_P6_NAME,"Bauhaus University, Weimar",Uniwersytet Bauhaus w Weimarze
OS_MAP_P6_CITY,"Weimar, Germany","Weimar, Niemcy"
OS_MAP_P7_NAME,The University of Wuppertal (BUW),Uniwersytet w Wuppertalu (BUW)
OS_MAP_P7_CITY,"Wuppertal, Germany","Wuppertal, Niemcy"
OS_MAP_P7_DESC,"The High Performance Computing group at the BUW works on the development and improvement of numerical methods used in the simulation engines that are developed in the HBP, such as the spiking neural network simulator NEST. Present achievements are the inclusion of gap junctions and rate models in the NEST simulator.","Zespół Obliczeń Wysokiej Wydajności przy Uniwersytecie w Wuppertalu zajmuje się opracowywaniem i usprawnianiem metod obliczeniowych stosowanych w silnikach symulacyjnych rozwijanych w ramach HBP, takich jak symulator wzbudzania sieci neuronowych NEST. Aktualne osiągnięcia to włączenie do symulatora NEST połączeń szczelinowych i modeli częstości aktywacji."
OS_MAP_P8_NAME,The Bloomfield Science Museum Jerusalem (BSMJ),Bloomfield Science Museum w Jerozolimie (BSMJ)
OS_MAP_P8_CITY,"Jerusalem, Israel","Jerozolima, Izrael"
OS_MAP_P8_DESC,"BSMJ is an informal cultural and educational
institution, serving all sectors of society. It
develops and creates interactive exhibitions
presenting science and technology, and integrates them into a range of activities. In HBP, BSMJ promotes ways to engage brain research to the public such as developing an interactive traveling exhibition.","BSMJ jest nieformalną instytucją kulturalną i edukacyjną, służącą wszystkim segmentom społeczeństwa. Opracowuje i tworzy interaktywne wystawy prezentujące naukę i technikę oraz włącza je do różnego rodzaju działań. W projekcie HBP BSMJ promuje metody przybliżania badań nad mózgiem szerszej publiczności, takie jak objazdowa ekspozycja interaktywna."
OS_MAP_P9_NAME,Cardiff University,Uniwersytet w Cardiff
OS_MAP_P9_CITY,"Cardiff, United Kingdom","Cardiff, Wielka Brytania"
OS_MAP_P10_NAME,The Scientific Research National Center,Krajowe Centrum Badań Naukowych
OS_MAP_P10_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P11_NAME,"The Office of Atomic Energy and
Alternative Energies",Urząd ds. Energii Jądrowej i Energii Alternatywnych
OS_MAP_P11_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P12_NAME,The National Research Council,Narodowa Rada ds. Badań
OS_MAP_P12_CITY,"Palermo, Italy","Palermo, Włochy"
OS_MAP_P12_DESC,"The Institute of Biophysics of the National
Research Council is located in Palermo (Italy). In HBP we are deeply involved in the development of a detailed, data-driven, full scale 3D computational model of the rodent and human hippocampus, and in the implementation and management of the European Brain Research Infrastructure.","Instytut Biofizyki przy Narodowej Radzie ds. Badań ma siedzibę w Palermo we Włoszech. W projekcie HBP jesteśmy mocno zaangażowani w opracowanie szczegółowego, bazującego na danych, pełnowymiarowego modelu obliczeniowego hipokampu u gryzoni i ludzi, jak też we wdrażanie oraz zarządzanie Europejską Infrastrukturą Badań nad Mózgiem."
OS_MAP_P13_NAME,The Italian Supercomputing Centre,Włoskie Centrum Superobliczeniowe
OS_MAP_P13_CITY,"Bologna, Italy","Bolonia , Włochy"
OS_MAP_P13_DESC,"The Italian supercomputing centre CINECA provides high performance computing and data services for the Italian and the European research community. For the Human Brain Project, it fosters the federation of data and scalable compute services to address the analytics needs of the neuroscience community.","Włoskie Centrum Superobliczeniowe (CINECA) zapewnia włoskiej i ogólnoeuropejskiej społeczności badaczy usługi obliczeniowe wysokiej wydajności oraz usługi przetwarzania danych. W projekcie Human Brain Project zajmuje się federacją danych i skalowalnymi usługami obliczeniowymi, wychodząc naprzeciw potrzebom analitycznym społeczności neuronaukowej."
OS_MAP_P14_NAME,Technical University of Denmark,Duński Uniwersytet Techniczny
OS_MAP_P14_CITY,"Kongens Lyngby, Denmark","Kongens Lyngby, Dania"
OS_MAP_P15_NAME,University of Debrecen,Uniwersytet w Debreczynie
OS_MAP_P15_CITY,"Debrecen, Hungary","Debreczyn, Węgry"
OS_MAP_P16_NAME,De Montfort University,Uniwersytet De Montfort
OS_MAP_P16_CITY,"Leicester, United Kingdom","Leicester, Wielka Brytania"
OS_MAP_P17_NAME,École Normale Supérieure,École Normale Supérieure
OS_MAP_P17_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P18_NAME,The Swiss Federal Institute of Technology,Politechnika Federalna w Zurychu (ETHZ)
OS_MAP_P18_CITY,"Zürich, Switzerland","Zurych, Szwajcaria"
OS_MAP_P18_DESC,"CSCS is an autonomous unit of the Swiss Federal Institute of Technology in Zurich. CSCS provides scientists with the computing infrastructure and
 xpertise, from cutting-edge super-computers to a full range of services related to HPC. ETHZ is co-leading in HBP the High-Performance Analytics and Computing Platform and coordinates the
 'Integration and operation' WP.","CSCS jest autonomiczną jednostką Politechniki Federalnej w Zurychu. CSCS zapewnia naukowcom infrastrukturę obliczeniową, wiedzę i doświadczenie, superkomputery i pełny zakres usług związanych z HPC. W ramach HBP ETHZ współkieruje Platformą Analityki i Obliczeń Wysokiej Wydajności oraz koordynuje „integrację i działanie” WP."
OS_MAP_P19_NAME,The Danish Board of Technology Foundation,Fundacja Duńskiej Rady ds. Technologii
OS_MAP_P19_CITY,"Hvidovre, Denmark","Hvidovre, Dania"
OS_MAP_P19_DESC,"The Danish Board of Technology Foundation is part of HBP's 'Ethics and Society' group, facilitating dialogue with publics, stakeholders and the HBP on
social, ethical, legal issues related to HBP
research. The Foundation's mission is to ensure that society's development is shaped by informed and forward-looking cooperation between citizens, experts, stakeholders, and decision-makers.","Fundacja Duńskiej Rady ds. Technologii jest częścią zespołu „Etyka i Społeczeństwo” w ramach HBP. Ułatwia dialog między opinią publiczną, interesariuszami oraz HBP w sprawach społecznych, etycznych i prawnych związanych z badaniami HBP. Misją Fundacji jest zapewnienie rozwoju społecznego w drodze świadomej i zorientowanej na przyszłość współpracy między obywatelami, ekspertami, interesariuszami i decydentami. "
OS_MAP_P20_NAME,Forschungszentrum Jülich,Forschungszentrum Jülich
OS_MAP_P20_CITY,"J?ֳ¼lich, Germany","Jülich, Niemcy"
OS_MAP_P20_DESC,"Forschungszentrum Jülich is a multi-disciplinary research institution and member of the Helmholtz Association. It contributes to the HBP with its Institute of Neuroscience and Medicine and the Jülich Supercomputing Centre. Neuroscientists and technical experts work together to build an infrastructure that enables high-resolution brain atlases, multi-scale simulation and data analysisworkflows.","Forschungszentrum Jülich jest multidyscyplinarną instytucją badawczą i członkiem Stowarzyszenia Helmholtz. Wspiera HBP za pośrednictwem swoich jednostek: Instytutu Neuronauki i Medycyny oraz Centrum Superobliczeniowego Jülich. Neuronaukowcy i technicy współpracują ze sobą, budując infrastrukturę umożliwiającą tworzenie atlasów mózgu, wieloskalowych symulacji i analiz danych."
OS_MAP_P21_NAME,Fortiss GmbH,Fortiss GmbH
OS_MAP_P21_CITY,"Munich, Germany","Monachium, Niemcy"
OS_MAP_P22_NAME,"Fraunhofer-Gesellschaft for the
Promotion of Applied Research",Fraunhofer-Gesellschaft na rzecz Promocji Badań Stosowanych
OS_MAP_P22_CITY,"Darmstadt, Germany","Darmstadt, Niemcy"
OS_MAP_P23_NAME,"Foundation Anna Sommer Champalimaud
and Dr Carlos Montez Champalimaud",Fundacja Anny Sommer Champalimaud i dr. Carlosa Monteza Champalimauda
OS_MAP_P23_CITY,"Lisbon, Portugal","Lizbona, Portugalia"
OS_MAP_P24_NAME,"Heinrich-Heine-University, Düsseldorf",Uniwersytet Heinricha Heinego w Düsseldorfie
OS_MAP_P24_CITY,"Düsseldorf, Germany","Düsseldorf, Niemcy"
OS_MAP_P25_NAME,University of Helsinki,Uniwersytet Helsiński
OS_MAP_P25_CITY,"Helsinki, Finland","Helsinki, Finlandia"
OS_MAP_P26_NAME,Heidelberg Institute for Theoretical Studies (HITS),Instytut Studiów Teoretycznych w Heidelbergu (HITS)
OS_MAP_P26_CITY,"Heidelberg, Germany","Heidelberg, Niemcy"
OS_MAP_P26_DESC,"HITS is a private, non-profit research institute carrying out basic multidisciplinary computational research in fields ranging from molecular biology to astrophysics. Rebecca Wade and her research
group are developing multiscale molecular modeling and simulation tools in the HBP Brain Simulation Platform, facilitating the design of new medicinesfor brain diseases.","HITS jest prywatnym niekomercyjnym instytutem badawczym prowadzącym podstawowe multidyscyplinarne badania obliczeniowe w dziedzinach od biologii molekularnej po astrofizykę. Rebecca Wade wraz ze swoim zespołem badawczym tworzy narzędzia wieloskalowego molekularnego modelowania i symulacji w ramach Platformy Symulacji Mózgu HBP, pomagając w tworzeniu nowych leków przeciwko chorobom mózgu."
OS_MAP_P27_NAME,University Hospital Vaudois,Szpital Uniwersytecki Kantonu Vaud
OS_MAP_P27_CITY,"Lausanne, Switzerland","Lozanna, Szwajcaria"
OS_MAP_P28_NAME,"Imperial College of Science, Technology and Medicine","Imperial College of Science, Technology and Medicine"
OS_MAP_P28_CITY,"London, United Kingdom","Londyn, Wielka Brytania"
OS_MAP_P29_NAME,Brain and Spinal Cord Institute,Instytut Mózgu i Rdzenia Kręgowego
OS_MAP_P29_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P30_NAME,"Institute of Experimental Medicine,
Hungarian Academy of Sciences","Instytut Medycyny Eksperymentalnej, Węgierska Akademia Nauk"
OS_MAP_P30_CITY,"Budapest, Hungary","Budapeszt, Węgry"
OS_MAP_P31_NAME,Institute of Science and Technology Austria (IST),Austriacki Instytut Nauki i Techniki (IST Austria)
OS_MAP_P31_CITY,"Klosterneuburg, Austria","Klosterneuburg, Austria"
OS_MAP_P31_DESC,"IST Austria located in Klosterneuburg is a young international institute dedicated to basic research including neuroscience. Prof. Shigemoto's task in HBP project is to provide quantitative data on number and distribution of key ion channels and neurotransmitter receptors in distinct membrane compartments of major principle
neurons in the brain.","IST Austria z siedzibą w Klosterneuburgu jest młodym międzynarodowym instytutem zajmującym się badaniami podstawowymi, w tym neuronauką. Zadaniem prof. Shigemoto w ramach HBP jest dostarczanie danych ilościowych w zakresie liczby i rozkładu kanałów jonowych i receptorów neuroprzekaźnikowych w odrębnych komorach membranowych głównych neuronów mózgu."
OS_MAP_P32_NAME,Jožef Stefan Institute,Instytut Jožefa Stefana
OS_MAP_P32_CITY,"Ljubljana, Slovenia","Lublana, Słowenia"
OS_MAP_P33_NAME,"National Institute of Research
in Computer Science and Automation",Krajowy Instytut Badawczy Nauk Informatycznych i Automatyzacji (INRIA)
OS_MAP_P33_CITY,"Sophia Antipolis, France","Sophia Antipolis, France"
OS_MAP_P33_DESC,"Inria performs comprehensive analyses of brain functional organization based on exhaustive analyses of brain imaging dataset. Inria also contributes an openly available brain imaging dataset that provides a reference to study the functional architecture of the brain, and open-source software that make brain data analyses
easy and reproducible.","INRIA prowadzi zaawansowane analizy organizacji funkcjonalnej mózgu na podstawie obszernych analiz zbiorów danych z obrazowania mózgu. INRIA zapewnia również ogólnie dostępny zbiór danych z obrazowania mózgu, stanowiący materiał badawczy do studiów nad architekturą funkcjonalną mózgu, a także oprogramowanie open-source ułatwiające analizy danych mózgowych i zapewniające ich powtarzalność."
OS_MAP_P34_NAME,Pasteur Institute,Instytut Pasteura
OS_MAP_P34_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P35_NAME,"Johann Wolfgang Goethe University
Frankfurt-am-Main",Uniwersytet Johanna Wolfganga Goethego we Frankfurcie nad Menem
OS_MAP_P35_CITY,"Frankfurt-am-Main, Germany","Frankfurt nad Menem, Niemcy"
OS_MAP_P36_NAME,Karlsruher Institute for Technology,Instytut Technologiczny w Karlsruhe (KIT)
OS_MAP_P36_CITY,"Karlsruhe, Germany","Karlsruhe, Niemcy"
OS_MAP_P36_DESC,"With 9,000 employees and a budget of 800 million euros, the KIT has become one of the world's largest research and teaching institutions with the potential to occupy a leading position worldwide in selected research areas. The KIT's role in the HBP is providing and developing the project's computing infrastructure.","Dysponując 9 tysiącami pracowników i budżetem w wysokości 800 mln euro, KIT stał się jedną z największych w świecie instytucji badawczych i dydaktycznych, mającą potencjał, aby stać się globalnym liderem w wybranych obszarach badań. Rolą KIT w projekcie HBP jest zapewnianie i rozwój infrastruktury obliczeniowej."
OS_MAP_P37_NAME,Karolinska Institutet,Karolinska Institutet
OS_MAP_P37_CITY,"Stockholm, Sweden","Sztokholm, Szwecja"
OS_MAP_P38_NAME,King's College London,King's College London
